n=88, m=8, U=3.653328, f=0.11, E=10098.51
n=88, m=8, U=3.506046, f=0.11, E=9789.23
n=88, m=8, U=3.360211, f=0.11, E=9327.29
n=88, m=8, U=3.778189, f=0.11, E=10207.92
n=88, m=8, U=3.835108, f=0.11, E=10484.70
n=88, m=8, U=3.485081, f=0.11, E=9731.94
n=88, m=8, U=3.486767, f=0.11, E=9936.18
n=88, m=8, U=3.785751, f=0.11, E=10149.47
n=88, m=8, U=3.415011, f=0.11, E=9756.96
n=88, m=8, U=3.516850, f=0.11, E=9885.78
n=104, m=8, U=3.717852, f=0.11, E=10568.23
n=104, m=8, U=3.587220, f=0.11, E=9992.57
n=104, m=8, U=3.587378, f=0.11, E=9808.66
n=104, m=8, U=3.498810, f=0.11, E=9694.43
n=104, m=8, U=3.445402, f=0.11, E=9581.80
n=104, m=8, U=3.424349, f=0.11, E=9748.48
n=104, m=8, U=3.468673, f=0.11, E=9821.16
n=104, m=8, U=3.464352, f=0.11, E=9773.90
n=104, m=8, U=3.583552, f=0.11, E=9954.25
n=104, m=8, U=3.517518, f=0.11, E=9869.02
n=120, m=8, U=3.827854, f=0.11, E=10654.04
n=120, m=8, U=3.818851, f=0.11, E=10583.07
n=120, m=8, U=3.685752, f=0.11, E=10436.91
n=120, m=8, U=3.797030, f=0.11, E=10801.24
n=120, m=8, U=3.422151, f=0.11, E=9832.54
n=120, m=8, U=3.758640, f=0.11, E=10714.82
n=120, m=8, U=3.406804, f=0.11, E=9761.30
n=120, m=8, U=3.773690, f=0.11, E=10713.50
n=120, m=8, U=3.666827, f=0.11, E=10409.62
n=120, m=8, U=3.787695, f=0.11, E=10698.03
n=88, m=8, U=3.427677, f=0.12, E=9652.41
n=88, m=8, U=3.833928, f=0.12, E=10386.16
n=88, m=8, U=3.490011, f=0.12, E=10065.61
n=88, m=8, U=3.666742, f=0.12, E=10090.65
n=88, m=8, U=3.577946, f=0.12, E=10036.85
n=88, m=8, U=3.497437, f=0.12, E=9735.51
n=88, m=8, U=3.401302, f=0.12, E=9416.63
n=88, m=8, U=3.373799, f=0.12, E=9509.45
n=88, m=8, U=3.417076, f=0.12, E=9555.12
n=88, m=8, U=3.578128, f=0.12, E=9931.22
n=104, m=8, U=3.726576, f=0.12, E=10459.38
n=104, m=8, U=3.673819, f=0.12, E=10349.57
n=104, m=8, U=3.374966, f=0.12, E=9378.35
n=104, m=8, U=3.797379, f=0.12, E=10438.84
n=104, m=8, U=3.477259, f=0.12, E=9667.46
n=104, m=8, U=3.483705, f=0.12, E=9679.61
n=104, m=8, U=3.806938, f=0.12, E=10771.31
n=104, m=8, U=3.477132, f=0.12, E=9821.37
n=104, m=8, U=3.414130, f=0.12, E=9663.97
n=104, m=8, U=3.435451, f=0.12, E=9527.09
n=120, m=8, U=3.609522, f=0.12, E=10406.64
n=120, m=8, U=3.607928, f=0.12, E=10425.03
n=120, m=8, U=3.794625, f=0.12, E=10639.73
n=120, m=8, U=3.772192, f=0.12, E=10541.39
n=120, m=8, U=3.728537, f=0.12, E=10479.15
n=120, m=8, U=3.456244, f=0.12, E=9972.72
n=120, m=8, U=3.816498, f=0.12, E=10778.12
n=120, m=8, U=3.751979, f=0.12, E=10633.53
n=120, m=8, U=3.694862, f=0.12, E=10316.56
n=120, m=8, U=3.627794, f=0.12, E=10533.46
n=88, m=8, U=3.535893, f=0.13, E=9812.67
n=88, m=8, U=3.625914, f=0.13, E=10195.61
n=88, m=8, U=3.586922, f=0.13, E=10097.50
n=88, m=8, U=3.509014, f=0.13, E=9688.28
n=88, m=8, U=3.363827, f=0.13, E=9380.52
n=88, m=8, U=3.653676, f=0.13, E=10173.80
n=88, m=8, U=3.800420, f=0.13, E=10575.87
n=88, m=8, U=3.561507, f=0.13, E=10113.18
n=88, m=8, U=3.445069, f=0.13, E=9559.32
n=88, m=8, U=3.593453, f=0.13, E=9787.64
n=104, m=8, U=3.722476, f=0.13, E=10458.10
n=104, m=8, U=3.435989, f=0.13, E=9780.05
n=104, m=8, U=3.581283, f=0.13, E=10094.22
n=104, m=8, U=3.778597, f=0.13, E=10502.41
n=104, m=8, U=3.372844, f=0.13, E=9535.43
n=104, m=8, U=3.398945, f=0.13, E=9423.38
n=104, m=8, U=3.494582, f=0.13, E=9645.06
n=104, m=8, U=3.654000, f=0.13, E=10375.77
n=104, m=8, U=3.421295, f=0.13, E=9644.93
n=104, m=8, U=3.403331, f=0.13, E=9696.49
n=120, m=8, U=3.619979, f=0.13, E=10507.52
n=120, m=8, U=3.823639, f=0.13, E=10810.17
n=120, m=8, U=3.671396, f=0.13, E=10505.17
n=120, m=8, U=3.834418, f=0.13, E=10941.36
n=120, m=8, U=3.546649, f=0.13, E=10201.17
n=120, m=8, U=3.774836, f=0.13, E=10813.32
n=120, m=8, U=3.617853, f=0.13, E=10438.87
n=120, m=8, U=3.724780, f=0.13, E=10407.26
n=120, m=8, U=3.797954, f=0.13, E=10803.74
n=120, m=8, U=3.582890, f=0.13, E=10458.62
n=88, m=8, U=3.693833, f=0.14, E=10264.94
n=88, m=8, U=3.716921, f=0.14, E=10258.10
n=88, m=8, U=3.754680, f=0.14, E=10291.57
n=88, m=8, U=3.375984, f=0.14, E=9541.84
n=88, m=8, U=3.396179, f=0.14, E=9519.00
n=88, m=8, U=3.600139, f=0.14, E=9986.64
n=88, m=8, U=3.362366, f=0.14, E=9152.93
n=88, m=8, U=3.829673, f=0.14, E=10742.48
n=88, m=8, U=3.610377, f=0.14, E=10272.35
n=88, m=8, U=3.707234, f=0.14, E=10445.01
n=104, m=8, U=3.774749, f=0.14, E=10545.69
n=104, m=8, U=3.379963, f=0.14, E=9523.51
n=104, m=8, U=3.619166, f=0.14, E=10102.63
n=104, m=8, U=3.514647, f=0.14, E=9633.64
n=104, m=8, U=3.733381, f=0.14, E=10310.61
n=104, m=8, U=3.638654, f=0.14, E=10134.99
n=104, m=8, U=3.830944, f=0.14, E=10959.27
n=104, m=8, U=3.476614, f=0.14, E=9525.25
n=104, m=8, U=3.717663, f=0.14, E=10285.92
n=104, m=8, U=3.610136, f=0.14, E=10221.95
n=120, m=8, U=3.699083, f=0.14, E=10478.43
n=120, m=8, U=3.507652, f=0.14, E=10037.37
n=120, m=8, U=3.778592, f=0.14, E=10744.89
n=120, m=8, U=3.501334, f=0.14, E=9967.35
n=120, m=8, U=3.652725, f=0.14, E=10334.84
n=120, m=8, U=3.686105, f=0.14, E=10573.88
n=120, m=8, U=3.503583, f=0.14, E=9971.23
n=120, m=8, U=3.743440, f=0.14, E=10742.95
n=120, m=8, U=3.609106, f=0.14, E=10303.66
n=120, m=8, U=3.538853, f=0.14, E=10464.12
n=88, m=8, U=3.628510, f=0.15, E=10065.38
n=88, m=8, U=3.817862, f=0.15, E=10445.74
n=88, m=8, U=3.792155, f=0.15, E=10581.32
n=88, m=8, U=3.377840, f=0.15, E=9429.70
n=88, m=8, U=3.605265, f=0.15, E=10139.03
n=88, m=8, U=3.556454, f=0.15, E=9849.39
n=88, m=8, U=3.607286, f=0.15, E=10232.12
n=88, m=8, U=3.690547, f=0.15, E=10228.24
n=88, m=8, U=3.518196, f=0.15, E=9907.10
n=88, m=8, U=3.818204, f=0.15, E=10606.12
n=104, m=8, U=3.669228, f=0.15, E=10126.44
n=104, m=8, U=3.734212, f=0.15, E=10591.67
n=104, m=8, U=3.394358, f=0.15, E=9541.17
n=104, m=8, U=3.508591, f=0.15, E=9729.37
n=104, m=8, U=3.447510, f=0.15, E=9638.86
n=104, m=8, U=3.714437, f=0.15, E=10596.38
n=104, m=8, U=3.389855, f=0.15, E=9490.26
n=104, m=8, U=3.586966, f=0.15, E=10072.80
n=104, m=8, U=3.643531, f=0.15, E=10396.38
n=104, m=8, U=3.532600, f=0.15, E=9954.56
n=120, m=8, U=3.586630, f=0.15, E=10365.75
n=120, m=8, U=3.606127, f=0.15, E=10322.02
n=120, m=8, U=3.819561, f=0.15, E=10754.80
